HC	UV
C0_CD4+ T cells	0.261088475934943	0.114611282255126
C1_Classical Monocytes	0.1347510682699	0.000496869720759217
C2_CD4+ cells	0.112160058299381	0.0117923747060187
C3_CD8+ T cells 	0.025174732518467	0.0430620424657988
C4_CD4+ T cells	0.0022856007154924	0.0652555566597105
C5_NK cells	0.0325284043857034	0.0295140614130975
C6_Monocytes/Neutrophils	0.0352777501739044	0.0177216867070787
C7_B cells	0.0230216303951771	0.0250091092782139
C8_CD8+ NKT-like cells	0.00652555566597105	0.0208022789757859
C9_CD4+ T cells	0.00828116201265362	0.0133823578124482
C10_Platelets	0.00513432044784524	0.00632680777766736
C11_Ionocytes/Monoytes	0.0034449633972639	0.00145748451422704
C12_Plasmacytoid Dendritic cells	0.000563119016860446	0.000331246480506145
