p_val	avg_log2FC	pct.1	pct.2	p_val_adj
RPS26	3.6726725484773e-295	-2.58558783641299	0.766	0.999	1.34423487946818e-290
IFITM1	6.29291517841169e-254	-2.66231843397216	0.047	0.837	2.30326988445046e-249
HLA-B	9.68688867323191e-225	-1.13185418134897	0.993	1	3.54549812328961e-220
RPS10	1.23715885566716e-194	1.6522949198177	0.954	0.779	4.52812512762737e-190
HLA-C	2.27142071637912e-172	-1.03427029594919	0.963	0.998	8.31362696401922e-168
TMSB4X	3.04836003389602e-152	-0.809474452634066	0.996	1	1.11573025600628e-147
NKG7	1.79357512696525e-136	-1.0327558160524	0.971	0.999	6.56466432220553e-132
RPS27	1.38680700502293e-126	-0.757243978239329	0.996	1	5.07585231908443e-122
TYROBP	5.31251527199772e-122	-1.24482541302311	0.549	0.934	1.94443371470389e-117
B2M	1.65903880035692e-107	-0.476725130091873	1	1	6.07224791318637e-103
GZMB	3.93148160613222e-104	-1.24511419706503	0.841	0.958	1.43896158266045e-99
RPL23A	1.66091608634666e-102	-0.825197184419606	0.908	0.991	6.07911896763741e-98
SLC35F1	6.61337956732092e-100	-1.19564313103473	0.012	0.404	2.42056305543513e-95
RPL13A	7.54798062253864e-99	1.14626385577104	0.893	0.765	2.76263638765537e-94
CFL1	1.32738987431514e-95	-0.899692509109158	0.853	0.976	4.85837967898085e-91
CTSW	3.44357769330864e-95	-1.0338907165042	0.688	0.941	1.26038387152789e-90
PFN1	1.61964624869105e-89	-0.871152579071127	0.895	0.984	5.92806723483413e-85
GZMM	1.74323485331594e-89	-1.10995156124641	0.501	0.86	6.38041388662167e-85
ACTB	1.46361427738993e-88	-0.972239199970168	0.927	0.991	5.35697461667487e-84
ITGB2	2.09395623344082e-86	-1.10819091201506	0.406	0.807	7.66408921001673e-82
MT-CO3	2.27250959750763e-85	0.856419768761818	0.966	0.998	8.31761237783767e-81
MT-CYB	9.32771454042919e-81	0.956948537886392	0.954	0.993	3.41403679894249e-76
FGFBP2	1.3191550109214e-79	-1.16382981268922	0.525	0.85	4.82823925547341e-75
