p_val,avg_logFC,pct.1,pct.2,p_val_adj,cluster,gene
0,0.706876456351627,0.968,0.858,0,0,ANXA1
0,0.677444009207519,0.881,0.725,0,0,LMNA
0,0.595212096392582,0.635,0.398,0,0,NIBAN1
0,0.593085104141709,0.726,0.553,0,0,LDLRAD4
0,0.520352188277063,0.874,0.678,0,0,IL7R
0,0.498798246420669,0.867,0.716,0,0,S100A11
9.4679464789326e-303,0.578557804673745,0.777,0.652,3.46536309075412e-298,0,NR3C1
3.07580799430906e-286,0.564490095952793,0.148,0.034,1.12577648399706e-281,0,LINC00511
1.55813080296743e-270,0.402576482535858,0.959,0.916,5.7029145519411e-266,0,MBNL1
7.56051024096919e-265,0.508480582111189,0.767,0.638,2.76722235329713e-260,0,HERC1
8.13858233010096e-257,0.585353263916809,0.3,0.142,2.97880251864025e-252,0,MFHAS1
7.43876614757325e-255,0.434015918079912,0.873,0.797,2.72266279767329e-250,0,ANKRD12
1.59226182445495e-234,0.484764991231062,0.7,0.535,5.82783750368757e-230,0,BICDL1
2.87211015941031e-231,0.452264965509726,0.77,0.649,1.05122103944577e-226,0,EML4
3.04734886701066e-218,0.590672107927925,0.375,0.214,1.11536015881457e-213,0,FAAH2
1.95241321029258e-212,0.602656835904969,0.256,0.12,7.14602759099186e-208,0,TNFRSF4
1.89585674186986e-198,-0.959028061948942,0.175,0.323,6.93902526091786e-194,0,TYROBP
1.96037733801002e-198,0.283763510353125,0.98,0.93,7.17517709485048e-194,0,VIM
1.36358701381733e-195,-0.635811499044186,0.13,0.284,4.99086482927281e-191,0,LYN
4.03905110743354e-192,0.501585346981011,0.401,0.247,1.47833309583175e-187,0,ANK3
2.8785015815985e-188,-0.800683808931812,0.148,0.294,1.05356036388087e-183,0,FCER1G
4.85851028727817e-185,-0.260471102469584,0.994,0.996,1.77826335024668e-180,0,TMSB10
3.43359798848635e-180,-0.305314823672455,0.908,0.954,1.25673119976589e-175,0,H3F3A
2.59848979362558e-177,0.514387467545772,0.496,0.352,9.51073249364898e-173,0,AC058791.1
2.92790402601411e-171,0.366992012466913,0.782,0.67,1.07164215256142e-166,0,P2RY8
2.41556897294352e-170,-0.527266944831474,0.124,0.262,8.84122399787059e-166,0,RIN3
3.55224657624808e-167,0.367191363259301,0.726,0.587,1.30015776937256e-162,0,SYNE2
1.62179294609524e-164,-0.351868642710135,0.038,0.136,5.93592436200318e-160,0,CXXC5
5.54958275947748e-164,0.416865969486326,0.527,0.369,2.03120278579635e-159,0,TSHZ2
5.56556874340033e-162,0.341532398270771,0.817,0.753,2.03705381577196e-157,0,FAM107B
6.44867912474611e-162,-0.682158687294371,0.962,0.968,2.36028104644832e-157,0,FTL
3.03625243372202e-159,-0.465692266165469,0.065,0.178,1.1112987532666e-154,0,FAM49A
1.26382153278936e-157,-0.398664000919332,0.041,0.14,4.62571319216234e-153,0,PLEK
3.98360078649051e-155,-0.386337441098719,0.051,0.154,1.45803772386339e-150,0,HLA-DMA
4.89214768629094e-155,0.365223050252359,0.718,0.609,1.79057497465935e-150,0,LTB
1.52381945492131e-154,-0.624659458264506,0.088,0.203,5.57733158695749e-150,0,CEBPD
2.10248257454422e-154,-0.490199699484077,0.076,0.19,7.6952964710893e-150,0,HLA-DRB5
7.77088123677721e-152,0.384560705157987,0.745,0.637,2.84422024147283e-147,0,AKT3
1.52882041616819e-150,0.351874411273231,0.653,0.512,5.59563560521719e-146,0,CAMK4
8.0530236300654e-150,-0.585793756294656,0.159,0.293,2.94748717884024e-145,0,MAP3K8
1.25691817469761e-149,0.41200380337972,0.411,0.272,4.60044621121071e-145,0,TRAT1
1.2685146591467e-149,0.377972974908784,0.758,0.66,4.64289050394285e-145,0,USP3
2.33872678814156e-148,-0.790022721557117,0.38,0.514,8.55997391727693e-144,0,ZEB2
3.35137120064345e-146,0.415794083405943,0.566,0.433,1.22663537314751e-141,0,ITK
1.24721877546006e-144,-0.556337694868612,0.066,0.17,4.56494544006136e-140,0,SLC43A2
1.81701865401988e-142,-0.799604611858852,0.117,0.233,6.65046997557817e-138,0,IFI30
4.46066032317471e-142,0.440327937717207,0.305,0.183,1.63264628488517e-137,0,PKIA
