p_val	avg_log2FC	pct.1	pct.2	p_val_adj
0	-1.70393811271237	0.361	0.896	0
0	-1.49700852493665	0.245	0.741	0
0	-1.21723743411313	0.148	0.52	0
0	-0.969837474636984	0.471	0.843	0
0	-3.99151603069982	0.17	0.466	0
0	-1.56417783748095	0.224	0.711	0
0	-2.28103052739028	0.022	0.295	0
0	-1.10983895790792	0.138	0.449	0
0	-0.960445588318492	0.595	0.837	0
0	-1.29184030706405	0.184	0.565	0
0	-1.18868271948323	0.316	0.731	0
0	-1.07504680550627	0.242	0.589	0
0	-0.957382535361106	0.53	0.767	0
0	-0.570010885789025	0.95	0.979	0
0	-0.533425936135429	0.999	1	0
0	0.709961200437365	0.999	1	0
0	-1.35985800269992	0.228	0.684	0
0	-3.47746762973241	0.054	0.288	0
0	-1.11804168863203	0.117	0.428	0
0	-1.26523629322429	0.175	0.568	0
0	-0.944180848538763	0.962	0.993	0
0	-1.27019498816368	0.155	0.529	0
0	-1.17583482232652	0.405	0.679	0
4.82923655239015e-304	-1.10572076839951	0.09	0.337	1.76754887054032e-299
1.01311973418496e-288	-0.971782275018172	0.091	0.334	3.70811953909036e-284
9.62878532302884e-284	-0.861408850019168	0.065	0.284	3.52423171608179e-279
1.74687532269535e-281	-0.866270935896907	0.082	0.316	6.39373836859724e-277
2.30945872824546e-263	-0.791709550072659	0.388	0.677	8.45284989125121e-259
3.94449408939087e-263	-0.929827689084653	0.137	0.388	1.44372428165795e-258
1.4382268063847e-256	-0.788676964657374	0.064	0.269	5.26405393404863e-252
5.68408085756956e-249	-0.39139058926094	0.994	0.999	2.08043043467903e-244
6.19850361940323e-242	-0.905985506241278	0.151	0.402	2.26871430973778e-237
6.02471777912286e-239	-0.788871050603829	0.295	0.584	2.20510695433676e-234
8.75272655262807e-237	-0.790485646244137	0.071	0.273	3.2035854455274e-232
7.67946592969859e-230	-0.425669284957076	0.991	0.998	2.81076132492898e-225
4.59815018168492e-228	-0.623860653464271	0.791	0.892	1.6829689479985e-223
1.94415562649848e-225	-0.828449008000538	0.096	0.311	7.11580400854708e-221
2.91310724498936e-225	-0.413613522700429	0.984	0.996	1.06622638273855e-220
1.74989061970044e-223	-0.679930197729255	0.38	0.694	6.40477465716558e-219
2.53656009393079e-223	-0.752698959594246	0.058	0.241	9.28406359979607e-219
6.40957592559264e-223	-0.852633241163289	0.133	0.357	2.34596888452616e-218
5.38156802977466e-219	-0.748499054100759	0.044	0.208	1.96970771457782e-214
1.21934563994439e-213	-0.656263704279265	0.004	0.102	4.46292697676047e-209
4.21756692887166e-210	0.93243424043491	0.245	0.023	1.54367167163632e-205
1.32222887285776e-209	-0.734095378337375	0.069	0.255	4.83948989754668e-205
1.94749807181584e-209	-0.795884820918813	0.108	0.315	7.12803769265317e-205
3.51388696713794e-208	-0.35785532240978	0.991	0.997	1.28611776884216e-203
2.99754837071656e-204	-0.43452958078817	0.972	0.99	1.09713267916597e-199
1.23980341126938e-197	-0.706147049676714	0.058	0.226	4.53780446558704e-193
5.33385267356003e-196	-0.698930997955922	0.06	0.23	1.95224341704971e-191
4.26150550424705e-192	-0.680700320425107	0.06	0.227	1.55975362960946e-187
7.29411021726549e-191	-0.751396325451394	0.112	0.316	2.66971728062134e-186
1.24858385938418e-188	0.750177625866046	0.223	0.021	4.56994178373203e-184
1.56911133423562e-185	-0.660493938648112	0.059	0.221	5.74310439443581e-181
1.76581063472548e-182	0.555457747499334	0.975	0.976	6.46304350415871e-178
2.56517548073107e-181	0.857804445027268	0.881	0.828	9.3887987770238e-177
3.37110116358001e-181	-0.673318648263599	0.072	0.242	1.23385673688192e-176
8.83901749115888e-180	0.695102905113749	0.968	0.964	3.23516879193906e-175
3.35685853888759e-171	-2.85535804333625	0.042	0.174	1.22864379381825e-166
1.22495964024286e-170	-0.626916085241431	0.049	0.195	4.48347477925289e-166
1.03976578434677e-167	-0.707539551699017	0.088	0.261	3.80564674728763e-163
1.16772129388254e-167	0.492622638048881	0.957	0.951	4.27397670773947e-163
2.804627728398e-166	-0.639734320499151	0.043	0.179	1.02652179487095e-161
1.58738681811628e-164	-0.363173623751159	0.976	0.991	5.80999449298741e-160
3.53652630872189e-162	-0.775794884202311	0.195	0.391	1.2944039942553e-157
5.76062297188859e-162	-0.815746072584866	0.188	0.388	2.10844561394094e-157
7.57318623371833e-162	-0.645958643847256	0.062	0.215	2.77186189340325e-157
8.92670642838036e-160	-0.67042564526342	0.368	0.578	3.26726381985149e-155
2.71873913455389e-157	-0.788295115024899	0.208	0.408	9.95085710638068e-153
4.00250419167336e-157	-2.55120619562694	0.021	0.125	1.46495655919437e-152
1.28045326563035e-156	0.535411357787345	0.874	0.769	4.68658699753363e-152
