p_val	avg_log2FC	pct.1	pct.2	p_val_adj	gene
0	-0.841337980569383	0.545	0.641	0	EPB41
0	0.313961587995115	0.237	0.075	0	SF3B4
0	-1.28974344431209	0.197	0.414	0	C1orf56
0	-1.30830589506639	0.101	0.477	0	S100A9
0	-1.19643362910975	0.064	0.367	0	S100A8
0	0.988347980264584	1	0.998	0	RPS27
0	-0.739704075214789	0.565	0.644	0	ASH1L
0	1.08350873653207	0.874	0.734	0	LMNA
0	0.337451001578698	0.35	0.142	0	MGST3
0	0.350028437102995	0.273	0.097	0	DEGS1
0	0.461838670035069	0.639	0.322	0	ARF1
0	0.447690473006978	0.998	0.985	0	RPS7
0	0.574245516617582	0.603	0.307	0	ODC1
0	0.562187940063962	0.836	0.514	0	OST4
0	0.39321154854706	0.154	0.026	0	AC006369.1
0	-2.19574041200845	0.039	0.35	0	IL1B
0	1.18609927067185	0.936	0.689	0	CXCR4
0	-0.882942206217149	0.283	0.468	0	PLCL1
0	0.350945302204483	0.991	0.953	0	RPL37A
0	0.27193368612229	1	0.999	0	RPL32
0	0.330622422922678	0.992	0.968	0	RPSA
0	0.553281722128472	0.922	0.65	0	TMA7
0	-1.19193512724912	0.768	0.892	0	FOXP1
0	0.97663341438346	0.424	0.085	0	MTRNR2L12
0	-1.36315546486846	0.347	0.602	0	CMSS1
0	-0.778695383298844	0.919	0.939	0	MBNL1
0	0.389622759391985	0.487	0.229	0	ATP5ME
0	0.546327499301743	0.354	0.138	0	LYAR
0	0.611457013771362	0.27	0.084	0	HOPX
0	-1.5466548595512	0.024	0.235	0	CXCL8
0	-1.28172628619151	0.02	0.179	0	EREG
0	-1.09041124514016	0.313	0.53	0	LEF1
0	0.506150929719741	0.637	0.335	0	SNHG8
0	0.382615527578736	0.358	0.137	0	NDUFC1
0	-0.828412322776522	0.427	0.555	0	TMEM131L
0	0.584064204960804	0.999	0.993	0	RPL37
0	-0.766363346759884	0.559	0.643	0	TNFAIP8
0	-0.680030962447557	0.831	0.843	0	CDC42SE2
0	0.438785301897303	0.574	0.283	0	HIGD2A
0	-0.962134964091557	0.342	0.517	0	JARID2
0	-0.913209922841362	0.578	0.709	0	RIPOR2
0	1.23393963771453	0.674	0.203	0	HIST1H4C
0	0.675533231574394	0.424	0.118	0	HLA-F
0	0.509494521927044	0.988	0.913	0	HLA-A
0	0.596279156075713	0.957	0.743	0	HLA-E
