p_val	avg_log2FC	pct.1	pct.2	p_val_adj
0	-0.896363767412527	0.82	0.973	0
0	2.44670552562437	0.497	0.051	0
0	1.83695868006351	0.346	0.016	0
0	-1.12216171533381	0.999	0.999	0
0	-1.34314206737892	0.833	0.989	0
0	-0.553550247766212	0.985	0.999	0
0	-0.370625281246231	0.999	1	0
0	1.89058204866838	0.601	0.176	0
0	-1.33192680823378	0.694	0.982	0
0	1.92583610899013	0.503	0.1	0
0	-0.428381489439682	1	0.999	0
0	-0.430263872182468	0.989	0.997	0
0	1.49973316245012	0.92	0.766	0
0	1.45942269824461	0.66	0.381	0
0	0.876245822879196	0.966	0.942	0
0	-0.704088828169391	0.994	0.999	0
0	-1.36945568651947	0.186	0.751	0
0	-1.05443672131639	0.849	0.998	0
0	-1.15082835619687	0.956	1	0
0	-0.773598038283118	0.999	0.999	0
0	1.24337955259539	0.984	0.957	0
0	-0.530421885394246	1	1	0
0	0.939919392554783	0.919	0.844	0
0	-1.74543587831593	0.017	0.693	0
0	-0.616802030255639	0.031	0.288	0
0	-0.493412866758873	0.999	1	0
0	-0.515464932159266	0.993	0.999	0
0	-1.07546606429034	0.957	0.992	0
0	-0.897148899923323	0.939	0.993	0
0	-0.541993721125635	0.987	0.998	0
0	-0.895153459815663	0.974	0.994	0
0	-2.00476059856759	0.024	0.747	0
0	-0.643709895471265	0.998	0.999	0
0	0.872891522775663	0.906	0.867	0
0	-0.571990551234768	0.995	0.997	0
0	-3.48745613445757	0.661	0.999	0
0	-0.550170985006449	1	1	0
0	-0.79060135990182	0.008	0.315	0
0	-0.541199465294826	0.977	0.997	0
0	-0.79573995802625	0.865	0.993	0
0	-1.10764371895464	0.8	0.987	0
0	-0.366005730879666	1	1	0
0	-0.942495127841717	0.414	0.836	0
0	-1.21556594116576	0.966	0.997	0
0	1.58071329915019	0.592	0.288	0
0	-1.23506022100805	0.954	0.998	0
0	-0.710150875975636	1	1	0
0	1.23787799955027	0.765	0.601	0
0	-0.315318502981652	1	1	0
0	-1.07075332018936	0.94	0.996	0
0	1.44823917175497	0.796	0.566	0
0	-0.454990036679423	0.999	0.999	0
0	-0.588850437337507	0.901	0.99	0
0	-0.667607746771328	0.004	0.242	0
0	1.33344787425885	0.933	0.807	0
0	-0.967900746169073	0.863	0.99	0
0	-0.371298017897153	0.997	0.999	0
0	-0.755999948783165	0.989	0.996	0
0	-0.670160164422483	0.999	0.999	0
0	-0.485165405548051	0.998	0.998	0
0	0.601632963576281	0.99	0.991	0
0	-2.54552835644691	0.301	0.942	0
0	-0.527605714891163	0.998	0.999	0
0	-0.675115102916052	0.979	0.998	0
0	-0.457279390613654	1	0.999	0
0	-0.887583604854327	0.988	1	0
0	-0.703979154628153	0.993	0.999	0
0	-0.634098241794034	0.999	0.999	0
0	-0.712411044917994	0.954	0.995	0
0	-0.525606116223909	1	1	0
0	0.669213409985618	0.987	0.999	0
0	0.831962915717283	0.983	0.994	0
0	1.10660968544975	0.988	0.997	0
0	0.973931431582341	0.968	0.983	0
0	0.860060977899752	0.982	0.995	0
5.85637678370421e-306	-0.697373045989133	0.076	0.374	2.14349246660358e-301
2.84652292131866e-299	1.1013546211058	0.74	0.581	1.04185585443184e-294
1.07766366843657e-293	-0.578564509497799	0.909	0.998	3.94435679284471e-289
1.18030958224384e-292	1.78198561260869	0.319	0.007	4.32005110197066e-288
9.23274730452762e-292	-0.815993243254634	0.566	0.899	3.37927784093015e-287
1.14899260640002e-291	0.835521222061097	0.911	0.929	4.20542783868471e-287
6.66223665187082e-288	-0.800323068283341	0.763	0.971	2.43844523695124e-283
5.14936112666114e-286	0.809571433684038	0.871	0.862	1.88471766596924e-281
4.58735769844817e-279	-0.620179502977671	0.106	0.414	1.67901879120901e-274
1.68397333899943e-278	-0.672076670298148	0.615	0.931	6.16351081807181e-274
4.56180341886769e-276	-0.459989661165245	0.971	0.997	1.66966566933976e-271
4.88003083772485e-276	-0.708082692351307	0.257	0.66	1.78614008691567e-271
5.29530870214271e-275	-0.679910055415902	0.563	0.921	1.93813593807125e-270
7.3697190407187e-274	1.08850366331573	0.723	0.561	2.69739086609345e-269
9.50211575648822e-274	-0.356664744649432	0.995	0.998	3.47786938803225e-269
4.98299435020789e-273	-0.568238241224497	0.062	0.32	1.82382576211959e-268
3.01955006278387e-269	-0.703289398209374	0.099	0.392	1.10518551847952e-264
2.63665600166258e-265	-0.664507826851676	0.699	0.961	9.65042463168523e-261
7.50270154131849e-264	-0.677884496846521	0.296	0.705	2.74606379113798e-259
1.00649939711998e-257	1.21639659341221	0.682	0.524	3.68388844339884e-253
3.92557272380021e-254	-0.730969132818747	0.388	0.787	1.43679887263812e-249
4.15059820681293e-253	-0.413344722650338	0.976	0.993	1.5191604496756e-248
3.66622331511772e-251	1.05748299560536	0.705	0.564	1.34187439556624e-246
2.45142765334772e-250	0.94674589731029	0.761	0.694	8.97247035401797e-246
2.58283139427557e-248	1.54917708028377	0.471	0.199	9.45342118618801e-244
2.59580804639449e-248	-0.370924221950225	0.991	0.997	9.50091703060847e-244
9.88095145181615e-246	1.10931437459346	0.626	0.299	3.61652704087923e-241
1.34821350825738e-244	1.61638776628514	0.313	0.034	4.93459626157284e-240
2.07823128210076e-243	-0.329615169473626	0.999	1	7.606534315617e-239
9.83373088574561e-241	1.70032016144944	0.401	0.121	3.59924384149175e-236
1.23617924038442e-239	-0.675520410758394	0.329	0.718	4.524539637731e-235
2.01507317864356e-239	-0.333243731648237	1	1	7.3753693411533e-235
4.78065520101616e-239	-0.632106349736425	0.491	0.872	1.74976761012392e-234
1.50924920298975e-236	-0.730657638481991	0.812	0.961	5.5240030078628e-232
6.43125784887854e-236	-1.04809467803735	0.368	0.707	2.35390468526803e-231
1.21794917382959e-235	1.08427717340642	0.671	0.539	4.45781577113367e-231
1.21851396003231e-234	-0.279382615005618	0.999	1	4.45988294511427e-230
1.94368524331632e-232	0.619010330555411	0.936	0.948	7.11408235906205e-228
1.21207696176495e-229	-0.601847632145164	0.601	0.926	4.43632288775589e-225
2.15840024439289e-228	-0.44848508077897	0.944	0.99	7.8999607345024e-224
1.32584019802751e-226	-0.597992439334448	0.651	0.944	4.85270770880049e-222
7.17272653079363e-226	-0.288213077564775	0.999	0.998	2.62528963753577e-221
2.80362532147753e-225	1.04054771906491	0.671	0.545	1.02615490391399e-220
3.01306607904475e-225	-0.58474360093421	0.707	0.962	1.10281231559117e-220
7.50002921137036e-224	0.476531973465378	0.977	0.999	2.74508569165367e-219
1.86948526236342e-223	-0.621053994514971	0.428	0.828	6.84250300877636e-219
3.10847037273137e-221	-0.56290927899861	0.238	0.603	1.13773124112341e-216
8.23128561070269e-221	-0.72044272567595	0.088	0.337	3.01273284637329e-216
1.43796479164372e-219	-0.539592868158502	0.825	0.972	5.26309493389516e-215
1.09962385680496e-218	1.25900709074862	0.562	0.35	4.02473327829182e-214
2.30638421714318e-218	-0.584184825155531	0.305	0.69	8.44159687316575e-214
3.39506164674107e-218	-0.278574022797713	0.999	0.998	1.2426265133237e-213
6.63620054275778e-217	-0.525601694424936	0.226	0.586	2.42891576065477e-212
1.40384659573019e-216	-0.668243634301278	0.424	0.798	5.13821892503208e-212
2.76370888359841e-216	-0.511695011494385	0.238	0.605	1.01154508848585e-211
3.78126913235827e-216	-0.658463483419303	0.138	0.421	1.38398231513445e-211
9.2662560716926e-216	1.12728651854382	0.617	0.458	3.39154238480021e-211
2.13501392225683e-215	0.846338794948478	0.769	0.733	7.81436445685223e-211
5.12136568574895e-215	0.962255860706049	0.718	0.546	1.87447105464097e-210
4.493887100932e-213	0.80182268464523	0.83	0.801	1.64480761781212e-208
1.55089089879251e-212	-0.525903888312733	0.26	0.629	5.67641577867048e-208
3.01779232294718e-211	0.899697919435367	0.779	0.7	1.1045421681219e-206
1.86836614953366e-210	-0.342887781420699	0.988	0.995	6.83840694390816e-206
2.48280911618219e-208	-0.897641169737963	0.558	0.827	9.08732964613843e-204
2.69716046209912e-206	-0.511209812092384	0.743	0.961	9.871877007329e-202
9.47126623305316e-206	-0.630150861659022	0.512	0.862	3.46657815395979e-201
1.58437044940046e-200	-0.462455198079807	0.124	0.398	5.79895428185061e-196
2.70424967544634e-200	-0.559333865068401	0.68	0.951	9.89782423710116e-196
7.04317616370337e-199	-0.60692330990422	0.323	0.69	2.57787290767707e-194
9.62984197619213e-199	0.966997125091887	0.662	0.546	3.52461846170608e-194
5.79159480480069e-196	-0.533032843609531	0.655	0.938	2.1197816145051e-191
6.60551413557029e-196	-0.66935816063731	0.632	0.912	2.41768422876008e-191
2.22448006697923e-193	-0.446568242236834	0.863	0.984	8.14181949315067e-189
2.52000981442484e-192	-0.380127254476591	0.021	0.174	9.22348792177635e-188
6.96376267809727e-191	0.753935487740229	0.804	0.782	2.54880677781038e-186
1.35374936759296e-190	1.24827530233541	0.349	0.102	4.95485806032698e-186
4.78707163540551e-190	-0.501013743265263	0.298	0.668	1.75211608927477e-185
1.27865972905085e-189	1.00115792104326	0.647	0.524	4.68002247429902e-185
7.28618324847333e-188	-0.6198771345726	0.658	0.927	2.66681593077372e-183
1.14889767687829e-185	-0.483528721660754	0.215	0.537	4.20508038714223e-181
1.56341739550848e-185	-0.598008449609849	0.776	0.967	5.7222640093006e-181
6.83833171712962e-184	-0.552102077431135	0.498	0.86	2.50289779178661e-179
3.12082682620856e-183	0.805560962639696	0.73	0.714	1.14225382666059e-178
7.93474107333066e-183	0.862024950117088	0.76	0.683	2.90419458024975e-178
1.02940199219133e-180	1.17185424035458	0.493	0.273	3.76771423161948e-176
4.86255449146798e-180	-0.421946798948395	0.139	0.409	1.77974356942219e-175
1.18983655651404e-178	-0.496044550347031	0.177	0.464	4.35492078049705e-174
2.7568823025335e-178	-0.432027675384717	0.088	0.312	1.00904649155029e-173
5.46482919270256e-177	-0.486634493554453	0.337	0.707	2.00018213282106e-172
4.79912335668062e-176	0.55699777518672	0.896	0.94	1.75652713977867e-171
5.15630194649448e-176	-0.514822067727233	0.274	0.614	1.88725807543644e-171
6.62323016751845e-176	-0.528675327976327	0.284	0.622	2.42416847361343e-171
1.30167588147152e-175	-0.572780155746846	0.454	0.809	4.76426389377393e-171
1.73310694829501e-175	-0.482774827053112	0.754	0.968	6.34334474145455e-171
3.89064250479655e-174	-0.524724374080864	0.253	0.574	1.42401406318059e-169
7.09805940361436e-174	-0.406376386451153	0.881	0.986	2.59796072231689e-169
1.4597476860972e-173	-0.542622009643301	0.709	0.95	5.34282250588438e-169
1.98024782965136e-173	0.767954461672148	0.782	0.733	7.24790508130693e-169
4.1685877745099e-173	-0.324800506010724	0.971	0.994	1.52574481134837e-168
2.28551242542693e-172	1.12731433266461	0.501	0.31	8.3652040283051e-168
1.82772429998845e-170	-0.50898976932069	0.289	0.632	6.68965371038774e-166
3.41159514874128e-170	1.3221024870443	0.364	0.137	1.2486779403908e-165
4.95039781580812e-170	-0.390815434247504	0.234	0.566	1.81189510456393e-165
5.40074985711568e-170	0.838549607293044	0.703	0.648	1.97672845520291e-165
1.98113912129124e-169	-0.493843904615395	0.265	0.593	7.25116729783805e-165
2.25931280201812e-169	0.593387492385454	0.912	0.967	8.26931078666653e-165
1.14437066224081e-168	1.02404391060314	0.564	0.409	4.18851106086759e-164
1.99622467019494e-167	-0.476903739489686	0.303	0.655	7.30638191538051e-163
2.04139937892413e-167	1.14319974326977	0.197	0.003	7.47172586680019e-163
3.35673766785621e-167	0.884043562814862	0.682	0.621	1.22859955381205e-162
4.19096912384775e-166	-0.426066093866646	0.186	0.476	1.53393660901951e-161
4.34068168112278e-166	-0.459165694225374	0.15	0.414	1.58873290210775e-161
1.57927697284213e-165	-0.426361139904738	0.255	0.587	5.7803116482995e-161
4.14618377186307e-165	-0.47217652921383	0.32	0.673	1.5175447223396e-160
5.05979697052039e-165	-0.430100436624648	0.341	0.716	1.85193628918017e-160
1.43399567895088e-164	-0.498954707871957	0.154	0.414	5.24856758452813e-160
1.84323385015493e-164	-0.426722764990119	0.201	0.5	6.74642021495206e-160
