p_val	avg_log2FC	pct.1	pct.2	p_val_adj	cluster	gene
1.75265965133119e-31	-0.585419974094954	0.004	0.25	6.4149095898373e-27	5	MKS1
2.15423134470561e-28	-0.572291011518938	0.002	0.167	7.884702144757e-24	5	AL096794.1
1.05197296316579e-23	-0.300432706043667	0.002	0.167	3.85032624248309e-19	5	RAB3A
1.4345551501697e-22	-0.579477326140279	0.006	0.25	5.25061530513611e-18	5	SYNM
1.87418412884903e-20	-0.326207072221818	0.003	0.167	6.85970133000035e-16	5	UBE2R2-AS1
1.87418412884903e-20	-0.398053014465335	0.003	0.167	6.85970133000035e-16	5	AC113414.1
5.4048195038873e-18	-0.400396417381491	0.003	0.167	1.97821798661779e-13	5	SH3D21
4.13997848463278e-16	-0.402405901183085	0.004	0.167	1.51527352516044e-11	5	MKRN3
4.29555647138716e-16	-0.454970607344635	0.004	0.167	1.57221662409242e-11	5	FAH
3.28399729564918e-12	-0.326280565368979	0.005	0.167	1.20197585018056e-07	5	CAHM
3.8726455763716e-12	-0.32309425449602	0.005	0.167	1.41742700740777e-07	5	EBF1
2.25261007002965e-11	-0.485761736692111	0.013	0.25	8.24477811731554e-07	5	PLPP3
1.46747847222402e-10	-0.264362591676864	0.006	0.167	5.37111795618714e-06	5	SLC48A1
1.46747847222402e-10	-0.590051984226041	0.006	0.167	5.37111795618714e-06	5	AP000462.1
7.34917994945964e-10	-0.385308480774295	0.007	0.167	2.68987335330172e-05	5	PKN3
9.42401586162647e-10	-0.608170590873878	0.016	0.25	3.4492840455139e-05	5	TMOD1
1.50639702871224e-09	-0.300158465707586	0.016	0.25	5.51356376478965e-05	5	PEMT
2.21471388135403e-09	-0.448898112459863	0.008	0.167	8.10607427714389e-05	5	LAG3
2.40497964251579e-09	-0.431503302532995	0.008	0.167	8.80246598957205e-05	5	AL161725.1
2.55803523825429e-09	-0.260661990994336	0.008	0.167	9.36266477553453e-05	5	LINC02361
4.37554499847995e-09	-0.422427563431702	0.017	0.25	0.000160149322489365	5	EOGT
2.1708198322401e-08	-0.516888437376373	0.009	0.167	0.000794541766798201	5	CYP1B1
2.21084189741451e-08	-0.443138976994128	0.009	0.167	0.000809190242872683	5	KLHL3
3.64457977079787e-08	-0.584388555789461	0.02	0.25	0.00133395264190973	5	MVB12B
5.49387553214525e-08	-0.716353966161018	0.009	0.167	0.00201081338352048	5	AC011997.1
5.98959286906884e-08	-0.305055625948866	0.009	0.167	0.00219225088600789	5	ADGRV1
1.67731036894195e-07	-0.874847565012148	0.083	0.5	0.00613912368136442	5	SH3YL1
3.83706366295279e-07	-1.63340060380138	0.224	0.75	0.0140440367127735	5	TRAC
5.5174280305672e-07	-0.651250384845041	0.04	0.333	0.020194338334679	5	CENPB
6.75059360839872e-07	-0.296504306814812	0.011	0.167	0.0247078476661002	5	AC139720.1
1.02778349574701e-06	-0.715202277518212	0.025	0.25	0.0376179037278364	5	S100A8
