p_val	avg_log2FC	pct.1	pct.2	p_val_adj
4.44827268141589e-103	-0.356234723332093	0	0.25	1.62811228412503e-98
4.44827268141589e-103	-0.312789809076434	0	0.25	1.62811228412503e-98
4.44827268141589e-103	-0.702526850261228	0	0.25	1.62811228412503e-98
4.44827268141589e-103	-0.312789809076434	0	0.25	1.62811228412503e-98
4.44827268141589e-103	-0.356234723332093	0	0.25	1.62811228412503e-98
4.44827268141589e-103	-0.387944471256228	0	0.25	1.62811228412503e-98
4.44827268141589e-103	-0.702526850261228	0	0.25	1.62811228412503e-98
4.44827268141589e-103	-0.387944471256228	0	0.25	1.62811228412503e-98
4.44827268141589e-103	-0.356234723332093	0	0.25	1.62811228412503e-98
4.44827268141589e-103	-0.387944471256228	0	0.25	1.62811228412503e-98
2.47530828327498e-52	-0.355516302213327	0.001	0.25	9.05987584761475e-48
2.47530828327498e-52	-0.700654182431625	0.001	0.25	9.05987584761475e-48
2.47530828327498e-52	-0.701220147588926	0.001	0.25	9.05987584761475e-48
3.18004547413452e-52	-0.311694963655192	0.001	0.25	1.16392844398797e-47
3.18004547413452e-52	-0.31196787154771	0.001	0.25	1.16392844398797e-47
3.18004547413452e-52	-0.699446506597063	0.001	0.25	1.16392844398797e-47
3.18004547413452e-52	-0.311758469380902	0.001	0.25	1.16392844398797e-47
3.18004547413452e-52	-0.384717974762489	0.001	0.25	1.16392844398797e-47
3.18004547413452e-52	-0.386845435001119	0.001	0.25	1.16392844398797e-47
3.18004547413452e-52	-0.386849006988586	0.001	0.25	1.16392844398797e-47
3.18004547413452e-52	-0.385018744359134	0.001	0.25	1.16392844398797e-47
3.18004547413452e-52	-0.311254613286947	0.001	0.25	1.16392844398797e-47
3.18004547413452e-52	-0.385595078897459	0.001	0.25	1.16392844398797e-47
3.18004547413452e-52	-0.355094800588296	0.001	0.25	1.16392844398797e-47
2.00344044699672e-46	-0.940714577899983	0.004	0.5	7.33279238005269e-42
2.22001819852148e-35	-0.699509443022885	0.001	0.25	8.12548860840847e-31
