p_val	avg_log2FC	pct.1	pct.2	p_val_adj
2.27605181434425e-293	-2.58543444260347	0.765	0.999	8.33057724568138e-289
1.60576350785471e-251	-2.66108969821455	0.047	0.837	5.87725501509903e-247
5.872747299575e-223	-1.12749794110781	0.993	1	2.14948423911745e-218
2.24765905688937e-193	1.64395258596796	0.955	0.779	8.22665691412077e-189
1.18635714265321e-170	-1.03237630503828	0.963	0.998	4.34218577782503e-166
7.19143380947448e-151	-0.808317947968579	0.996	1	2.63213668860576e-146
7.07918583844711e-135	-1.02526737686062	0.973	0.999	2.59105280873003e-130
4.92009109441219e-127	-0.7612720507652	0.996	1	1.8008025414658e-122
2.18402368255535e-120	-1.23698791737546	0.551	0.934	7.99374508052083e-116
8.30931161304561e-107	-0.476619060693336	1	1	3.04129114349083e-102
9.71707563867031e-103	-1.23642134724965	0.844	0.958	3.55654685450972e-98
1.04940087389275e-102	-0.829670204685337	0.907	0.991	3.84091213853485e-98
1.18540678872978e-98	-1.1941877041012	0.012	0.403	4.33870738742985e-94
6.33086380017273e-98	1.14196843989524	0.892	0.765	2.31715945950122e-93
8.11302215752472e-95	-0.899506034476012	0.852	0.976	2.96944723987562e-90
3.99939047970322e-94	-1.0292856155523	0.689	0.94	1.46381690947618e-89
4.05465430878117e-89	-1.11140541557881	0.498	0.86	1.484044023557e-84
1.28475514242224e-88	-0.868421677068409	0.894	0.984	4.70233229677966e-84
5.54503169367871e-88	-0.971432134038901	0.927	0.991	2.02953705020334e-83
1.9169621418037e-85	-1.10439812644187	0.406	0.807	7.01627313521573e-81
1.86405226468041e-84	0.856008925726083	0.966	0.998	6.82261769395675e-80
4.63371791408046e-80	0.955682235390552	0.954	0.993	1.69598709373259e-75
8.5369642129177e-80	-1.16929000637256	0.525	0.849	3.12461427157001e-75
5.12614527209163e-75	-0.583806629640605	0.984	0.998	1.87622043103826e-70
1.65340669174255e-74	0.666928219250178	0.998	0.989	6.05163383244689e-70
4.14527940367999e-72	-0.68419153018178	0.919	0.997	1.51721371454091e-67
7.35824482122161e-71	-0.727598029298153	0.907	0.991	2.69319118701532e-66
8.49555352016252e-71	0.922563148151067	0.939	0.974	3.10945754391468e-66
1.24070525680945e-67	-1.59440893202962	0.306	0.652	4.54110531044825e-63
6.28697837504667e-67	-1.01272521467981	0.607	0.871	2.30109695505083e-62
5.72623002092003e-66	-0.515745702271542	0.995	0.999	2.09585744995694e-61
1.04609379356408e-64	-0.857407874725105	0.721	0.921	3.82880789382388e-60
1.66945398283285e-64	-1.14845143440684	0.921	0.967	6.11036852256651e-60
2.30805567648062e-63	-0.7484763657739	0.763	0.949	8.44771458148673e-59
4.81071172239498e-63	-0.684368921295699	0.91	0.988	1.76076859751379e-58
7.69380424032726e-63	0.907392750916308	0.824	0.733	2.81600929000218e-58
1.04331086914007e-62	1.4827714748943	0.515	0.171	3.81862211213955e-58
1.06772497741655e-62	-0.874274683673401	0.002	0.26	3.9079801898423e-58
1.92745584313768e-62	-0.651569694709582	0.863	0.976	7.05468113146823e-58
1.02702147643605e-60	-1.3191911590363	0.118	0.455	3.75900130590358e-56
1.00525438440898e-59	-0.821468017503594	0.731	0.922	3.67933157237531e-55
1.05250672014368e-59	-1.15959543184206	0.074	0.382	3.85227984639788e-55
1.71274751009075e-59	-0.970322484126593	0.433	0.771	6.26882716168315e-55
2.59945904112496e-59	-0.629053025899893	0.965	0.997	9.51428003642146e-55
7.94952164783905e-58	1.40864471151182	0.514	0.184	2.90960441832557e-53
8.51474830205162e-58	-0.845736123570404	0.525	0.822	3.11648302603391e-53
9.18161142621699e-58	-0.73611859583897	0.718	0.924	3.36056159810968e-53
1.17260356926825e-57	-0.873719670651962	0.552	0.837	4.29184632387871e-53
1.01968137109338e-56	-0.583808468900655	0.988	0.998	3.7321357863389e-52
4.70156330991974e-55	-0.82492121870502	0.441	0.756	1.72081918706372e-50
4.69911936951668e-54	-0.896256163661537	0.416	0.766	1.7199246804368e-49
4.8938699193804e-54	-1.49233622998887	0.553	0.834	1.79120532919242e-49
5.57683768559975e-54	-0.881474673981	0.549	0.828	2.04117836130636e-49
2.60024658536727e-53	1.2019645816196	0.315	0.043	9.51716252710276e-49
1.05764662140491e-52	-1.08352577874093	0.761	0.847	3.8710923990041e-48
4.99535486602846e-52	-0.799780747859004	0.459	0.781	1.82834983451508e-47
6.1408406263504e-51	-0.825965609822259	0.694	0.888	2.24760907765051e-46
4.29736237386211e-50	-0.580264576576373	0.899	0.974	1.57287760245727e-45
1.25398835950465e-49	-0.76508409500179	0.003	0.213	4.58972279462297e-45
9.4254401497812e-49	1.40707495669313	0.284	0.034	3.44980534922142e-44
6.55169934574931e-48	-0.689766632027397	0.757	0.928	2.3979874775377e-43
1.33847838660034e-47	-0.794061912160942	0.315	0.649	4.89896474279592e-43
4.30202446897696e-47	0.850937564965611	0.773	0.561	1.57458397589026e-42
7.81266503256908e-47	1.12417500395952	0.356	0.087	2.85951352857061e-42
1.20239176952645e-46	-0.725084778063812	0.041	0.281	4.40087411564376e-42
1.65512669618386e-46	0.52929136659991	0.994	0.998	6.05792922070256e-42
2.72784903517496e-46	0.613071065055338	0.953	0.998	9.98420025364385e-42
1.19025850316369e-44	-0.814430573744864	0.452	0.728	4.35646514742942e-40
1.41030853461488e-44	-0.897286194509859	0.446	0.72	5.16187026754394e-40
2.75673620320087e-44	-0.920851365736435	0.883	0.955	1.00899301773355e-39
9.10061227753149e-43	-0.784969624683308	0.228	0.52	3.3309150996993e-38
9.19180739072985e-43	-0.780194542509351	0.209	0.509	3.36429342308103e-38
1.070138446163e-41	-0.641045015962961	0.767	0.93	3.91681372680121e-37
1.13548663765171e-41	-0.75066660345137	0.868	0.956	4.15599464246903e-37
1.23179195867377e-41	-0.422209998377902	0.972	1	4.50848174794186e-37
3.65822521204774e-41	-0.661995033909328	0.827	0.951	1.33894700986159e-36
1.83318347624403e-40	0.87415909149982	0.668	0.513	6.70963484140079e-36
1.34131546567307e-39	-0.464756672775366	0.885	0.971	4.90934873591e-35
2.3588178178236e-39	0.775555433037984	0.805	0.721	8.63350909501614e-35
3.3182324787124e-39	0.687202169680745	0.825	0.693	1.21450626953353e-34
4.85493990336671e-39	1.04080477552883	0.297	0.065	1.77695655403125e-34
4.03273196581376e-38	-0.703537884876473	0.563	0.803	1.47602022680749e-33
5.29480205930417e-38	0.651868992834893	0.893	0.842	1.93795050172592e-33
5.85795531225126e-38	0.768206458758175	0.186	0.007	2.14407022383708e-33
